Bucket Name,Region,Size,Objects
serverless-hello-world-d-serverlessdeploymentbuck-3n20j8mqe0z5,us-east-1,24.69 MB,6
serverless-src-829513730864,us-east-1,0.00 bytes,0
simplecodescanning-deleteresourcespipelineresourc-3qsqnyumtr4s,us-east-1,16.55 KB,14
simplecodescanningpipeli-deleteresourcespipeliner-1c8gee0dou90i,us-east-1,35.53 KB,30
smc-workshop-setup-configbucket-miyjcws3fr7s,us-west-2,0.00 bytes,0
static-hosting-demo-estanqua,us-east-1,254.00 bytes,1
svcprd-cea-sharedsvcs-ue1-s3bucket-09291748,us-east-1,0.00 bytes,0
svcprd-cea-sharedsvcs-ue1-s3bucket-10071444,us-east-1,0.00 bytes,0
svcprd-cea-sharedsvcs-ue1-s3bucket-10071749,us-east-1,0.00 bytes,0
terraform-artifact-cicd-test-829513730864-codebuild,us-east-1,377.00 bytes,1
terraform-artifact-cicd-test-829513730864-codepipeline,us-east-1,318.00 bytes,1
terraform-state-estanqua,us-east-1,5.46 MB,4
test-optimizer-cea,sa-east-1,0.00 bytes,0
teste-bucket-s3-servicecatalog-xpto-2022,us-east-1,0.00 bytes,0
teste-lorawans3accesslogsbucket-6k98sng4ay2e,us-east-1,0.00 bytes,0
teste-nlb-logs-access-logs-829513730864,us-east-1,152.00 bytes,2
tf-validate-project-rpl20230713154415884800000001,us-east-2,0.00 bytes,0
tf-validate-project20230713154415998000000001,us-east-1,1.11 KB,1
xpto-xyz-cea-2022-0305678,us-east-1,28.61 MB,40
